text,food,service,place,price
Quán quá tệ và nhân viên không tôn trọng khách,0,1,0,0
Quán 21h đóng cửa ko báo khách. 2h40 khach vao goi do an.21h 15 ra báo thanh toán. Bực ko chịu đc,0,1,0,0
"Ngồi gọi đồ đợi 40p lên được 1 đĩa rau và 2 bát mắm, các bàn đến sau thì được đồ ăn hết",0,1,0,0
"Ai có ý định ăn nên ăn dưới lầu, nv còn vui vẻ với khách khuyên đừng lên tầng 2 ,nếu hết bàn đi về , nhân viên rất thái độ chửi khách đã ăn 2 lần đều thấy vậy.",0,1,0,0
"Cơm ngon, không gian rộng, sạch sẽ.

NHƯNG 1 SAO vì thái độ nhăn nhó, khó chịu của đa số nhân viên trong quán. …",2,1,2,0
"Nhân viên thái độ cực kì, đi ăn mà tưởng ăn xin🙏🏻
Chỉ cho gọi món 1 lần, không được gọi lần 2. Không cho lên nước trước đồ ăn. Gọi 1 món mấy phần cũng bị nói.
Không bao giờ dám quay lại dù quán có nổi tiếng …",0,1,0,0
"Nhân viên phục vụ thái độ tệ, không quay lại lần 2, khuyến cáo khách không nên ăn",0,1,0,0
"Đồ ăn k có gì đặc sắc mà đắt, bát đũa thì mẻ nhiều hơn lành",3,0,1,1
"Đi ăn buổi tối kêu thịt luộc mà đem ra nguội ngắt, hỏi nhân viên thì kêu “mới” luộc hồi sáng. Mực rim thì rim lại cứng luôn mực. Đọt bí xào chả khác gì luộc. Trứng chiên thì k nêm gia vị. Quá tệ!",1,1,0,0
"Bữa cơm nhà dỡ nhất tôi từng ăn. Thịt kho tộ gì toàn dầu mỡ. Canh cải chua thì nêm nếm dỡ không ra mùi vị gì, đến nỗi ăn vào như ăn một tô canh thiu.",1,0,0,0
"Đồ ăn thì dở, nhân viên thì thái độ khó chịu
chả hiểu cái quán này đông khách vì lý do gì",1,1,0,0
"thái độ nhân viên tệ, nạt vào mặt khách, quán phục vụ kém, không cho gọi nước cho khách trc mà bắt phải gọi món trước mới phục vụ nước, không nên tới nha mọi người, không cho gọi món lần 2",0,1,0,0
"đồ ăn lên siêu lâu, nv làm việc cũng chậm chạp",0,1,0,0
Chac chem qua dang.0 co lan thu 2.,0,0,0,1
Quán bán đắt điên luôn ...,0,0,0,1
"Đồ ăn chút ắt mà giá thì trên trời
Ăn 1 lần và mãi mãi :))",1,0,0,1
chặt chém thật sự nghĩ sao phần cơm đc 5 lát thịt luộc mỏng dính lấy 50 nghìn . không có lần 2,1,0,0,1
Đắt dỡ mất vệ sinh,1,0,1,1
thực sự thì toi khá là bất ngờ về chất lượng lại k đi kèm cùng giá cả . giá cả thì cao mà đồ ăn thì lại khá là k phù hợp nếu k muốn nói là k ngon . . cảm ơn,1,0,0,1
hộp cơm 1 lát cá với chút rau xào lấy 50k..vừa đắt vừa dở..mua 1 lần tởm đến già..,1,0,0,1
bán gần trường cho sinh viên mà một dĩa cơm sườn có 2 cục nhỏ lấy 30k ? ăn k đủ kêu thêm 2 cục nữa lấy 15k ? dĩa cơm lời quá v má,3,0,0,1
"Thức ăn nấu k ngon 35k 1 phần mà k thật sự ngon k đáng với số tiền bỏ ra, nhân viên thì thái độ ra mặt trải nghiệm lần đầu quá tệ",1,1,0,1
"Phần cơm bình dân, 1 miếng trứng và cá chuồn chiên 55k. Đắt hay rẻ mọi người tự đánh giá",3,0,0,3
"Thái độ phục vụ khó chịu thực sự. Quán này mua vote, trải nghiệm thực tế kém từ chất lượng đồ ăn đến vẻ kẻ cả bất cần của quản lý.",1,1,0,0
"phục vụ lâu, nhân viên thì cãi nhau om xòm, gọi thêm món k nhận, lạ thật. nói chung các phục vụ nói chuyện với khách của nhân viên kém!",0,1,0,0
"Quán ăn ngon mà nhân viên phục vụ tệ, ghé 2 lần đều vậy, sẽ k ghé lần 3",2,1,0,0
"Phục vụ kém. Gọi đồ ăn sau 40 phút ngồi chờ, hỏi nv phục vụ bàn thì quay đi ko nói gì. Xuống hỏi quản lý thì chưa làm. Nản!!!!!",0,1,0,0
Không nên ghé nếu không muốn rước bực vào người,0,0,0,0
Phục vụ không chuyên nghiệp. Bàn khách đông tới sau được phục vụ. Bàn khách ít thì ngồi đợi không ngó ngàng,0,1,0,0
Thái độ nhân viên siêu tệ,0,1,0,0
Nhân viên thái độ quá chả muốn đến lần 2,0,1,0,0
"Món ăn làm cực kì tệ. Rau muống thì không nêm, thịt ram thì vừa cứng vừa khô. Nhân viên chậm chạp dù rất nhiều.",1,1,0,0
"quán rộng rãi mát mẻ nhưng nhân viên rất thái độ như hét vào mặt khách v, cần xem lại",0,1,2,0
"Nghe tiếng nên ghé ăn thử, dc nhà hàng cho leo cây luôn.
Vào bàn ngồi 5p ko thấy nhân viên order, phải gọi 1 nhân viên hỏi thử xem order tại quầy hay tại bàn thì bảo là order tại bàn -> quế tập 1 …",0,1,0,0
"Không chấp nhận được thái độ của nhân viên quán này, gân cổ lên cãi khách. Làm dịch vụ kiểu gì vậy?",0,1,0,0
"Đồ ăn bình thường như trứng ,đậu hũ chiên mà mắc như ăn hải sản ,phục vụ rất lâu",3,1,0,1
"Khá thất vọng về trải nghiệm tại quán cơm 1989
- Đồ ăn: ổn, nhưng không quá ngon
- Thái độ nhân viên: hời hợt, không nhiệt tình …",3,1,0,0
"Nhân viên có thái độ lồi lõm, và không cần khách.

Chúng tôi đã rời đi và không dùng bữa.",0,1,0,0
"Cơm nấu bở, khô không ra sao.
Nhân viên nghễnh ngãng gọi một món ra món khác.
Tuy nhiên nấu các món cũng khá dễ ăn. …",3,1,0,0
"Nhân viên phục vụ tệ hại, đặt bàn 15 người trước đó khi tới thì con nhân viên đeo kính tóc xoăn bảo không nhận đặt gì hết,",0,1,0,0
"đồ ăn tạm nhưng đợi gần 1 tiếng mới có
muỗng chén đũa dơ, rửa ẩu
nhân viên đùa giỡn mà đồ của khách thì không thấy đâu …",3,1,1,0
"Mới ăn hồi trưa vào ngày 21/3. Đồ ăn tạm ngon nhưng thái  độ nhân viên quá tệ, khách nhờ lấy đồ thôi mà làm mặt căng, nhăn nhăn ĐẶT BIỆT là cô phục vụ có ốp lưng con ếch. Quá thất vọng",3,1,0,0
"Nhân viên rất tệ, thái độ nhăn nó, nhà hàng tuy lớn nhưng ít nhân viên và văn hoá phục vụ không chuyên nghiệp.
Đồ ăn ngon, sạch sẽ",2,1,0,0
"Đồ ăn rất dở, có món hâm nhiều lần.",1,0,0,0
Thiết kế đèn trần rất tệ đèn chiếu thẳng vào mặt khách hàng ngồi ăn ko đc thoải mái. Chói mắt,0,0,1,0
"Nhân viên thu ngân thái độ hỗn láo với khách ,  đập bàn đập ghế tỏ thái độ , khi thanh toán thì cố tình không trả lời khách .",0,1,0,0
Gọi có 2 món ngồi đợi lâu quá trong khi quán vắng khách đợi cả 40p hỏi nhân viên thì bảo không biết do bếp làm,0,1,0,0
Bán rẻ lại bớt thì ngon,2,0,0,1
Nhân viên quá tệ.  Từ giữ xe đến phục vụ đều thái độ. Khó chịu vô cùng,0,1,0,0
"Đồ ăn ko nóng làm canh cá tanh, cơm lấy từ nồi cơm điện bỏ vào niêu mang ra. GIÁ CAO so với các quán khác quanh khu Q1 mà đồ ăn lại ko ngon. Chê",1,0,0,1
"Gọi món nhưng nhân viên mang thiếu một món, cũng không nhắc nhở khách là sẽ lên sau. Khi mọi nguời đã ăn cơm xong xuôi thì nhân viên mới lên món cuối, cũng không đồng ý cho khách đc trả lại món.",0,1,0,0
"Các món ăn tệ không ngon, phục vụ kém, đây chỉ là cơm bình dân giá 40-50k mà thôi.
Cơm niêu k phải thế mạnh của đà lạt rồi.",1,1,0,0
"Dịch vụ chậm, kém, xô bồ. Đợi hơn 1 tiếng đồ ăn chưa có.
Nhà Hàng cho khách ăn ""cơm niêu"" mà lại là cơm sống, cơm nguội.",1,1,0,0
"Thái độ nhân viên phục vụ kém, gọi cá kho nhưng đến cuối bữa mới bê ra. Đồ ăn bình thường, đắt so với mặt bằng chung",3,1,0,1
thầy thông tin quán à ngon rẻ nhưng khi tới chưa có được ăn cái già hết mà nhân viên có thái độ không cần khác hàng. đến đặt bàn mà bị đuổi như đuổi tà.,0,1,0,0
Phục vụ khá khiếm nhã! Rất phân biệt đối xử với các nhóm khách nhỏ ít người! Còn đồ ăn thì củng bình thường! Ăn tại quán ngày 12 tháng 8 năm 2017,3,1,0,0
"Ăn như cái đầu bùi t. Cơm thì sống, cơm niêu gì mà nấu ở nồi công nghiệp rồi mới múc chia vào các niêu. Đồ ăn thì dở chưa từng thấy. Cho 1 điểm còn thấy cao",1,0,0,0
"Cơm niêu bị sống và nguội ngắt, phục vụ chậm, đồ ăn không ngon!",1,1,0,0
"giò heo còn lông, thái độ nhân viên cực tệ ,nhất là nhân viên nữ",1,1,0,0
đồ ăn dở. phục vụ tệ. đồ ăn ngọt. trà đá có vị trà và lạnh của đá,1,1,0,0
"Đồ ăn giở so với giá, gà mặn, thịt kho mặn, canh mặn, sườn cứng....",1,0,0,1
"Mình đi ăn 2 người, đợi phục vụ dọn món + tính tiền rất lâu.",0,1,0,0
"Món ăn thì được.
Phục vụ quá chậm chạp, bưc mình. Ai ăn vào đợi nhanh nhất 30p",3,1,0,0
nên cân nhắc trước khi ghé quán.,0,0,0,0
"Cơm khá nhão, đồ ăn thì món nào cũng nhiều dầu, kể cả món rau trộn, món kho",1,0,0,0
"Trưa nay đã ghé, say goodbye mãi mãi, ở đây chỉ ưu tiên khách đoàn, khách lẻ tẻ tới họ ko thèm quan tâm tới.",0,1,0,0
"Quán nhỏ, đồ ăn dở, không gian mở, nhiều ruồi",1,0,1,0
Quán phục vụ quá lâu,0,1,0,0
Cơm thiêu vẫn mang ra cho khách!!,1,0,0,0
"thức ăn cũ,Wc hôi kinh khủng.",1,0,1,0
"Cơm ngon ok lắm giá cả hợp lý
☆ ĐẶC BIỆT ☆ ( PHỤC VỤ LÂU ƠI LÀ LÂU LUÔN )",2,1,0,2
"Quán tệ hại vô cùng cả quán được 3 bàn ,gọi món mới đi chợ mua đồ, 1h chưa’ có cơm ăn, xào như rau lợn mọi người né xa ra",1,1,0,0
"Nếu bạn thích ăn ngọt thì có thì có thể ghé  vô thử.
Riêng mình thì mình không hài lòng
+ Đồ ăn ngọt …",1,0,0,0
Minhg ăn quan cơm này. Quá đắt.ko ngon...,1,0,0,1
"Thật sự quán có biết phục vụ khách không vậy. Cả đoàn mình đợi tận 1 tiếng rưỡi, thông báo nhưng vẫn không có món 😒. …",0,1,0,0
"Cà pháo thì nhạt
Kho quẹt thì nước lũng bũng ko có miếng tôm hay tóp mỡ. Bông cải thì già
Thịt kho thì chưa tới …",1,0,0,0
"Giá đắt, không tương xứng",0,0,0,1
"Đồ ăn tệ không hiểu nổi, giá trên trời. Cứ như kiểu quán bán sự coi thường và khách tới cũng đi mua sự coi thường. …",1,0,0,1
Nấu ăn nhạt. Giá cao,1,0,0,1
Các món ăn không ngon và không sạch sẽ,1,0,0,0
"6 người vào gọi đồ ăn chờ 15p
Vô rửa tay thì bồn rửa cúp nước, nhân viên hỏi nhau sao cúp nước...
Gọi cà muối thì ăn cơm xong mới mang ra …",0,1,1,0
Mình nghé lại quán lần 2 cũng như lần trước mình thực sự thất vọng về đồ ăn của quán cá thu kho thôm cá thì ương bay mùi hơi kho thì mặng lần này là lần cuối quay lại quán,1,0,0,0
"Món ăn ngon, nhân viên phục vụ không nhiệt tình, đang nói chuyện với khách bỏ đi bàn khác. Thái độ làm việc lơ đễnh, thiếu chuyên nghiệp và không tận tâm. Sẽ không quay lại.",2,1,0,0
"Cơm niêu dỡ ko ngon, đồ ăn ít và mắc, lên nước lâu, tô canh 92k có tí xíu, chả giò bị chua phải đổi món, phục vụ áo đen kêu món cọc, thái độ khó chịu, nhăn nhó, ăn tiếc tiền lắm mọi người ơi",1,1,0,1
"Đồ ăn ít, dở. Mỗi cơm vơi canh rau đay là đỡ, thịt cháy cạnh dày + ngọt như chè. Đậu hủ chiên nguội lạnh, k giòn, k béo. Rau muống xào đường. Cá bống kho cũg k ngon nghẻ j.3 ng ăn bth uống trà đá 540k.",1,0,0,1
"Quán nóng lắm.
Tốt hơn hết là đừng vào, đồ ăn ngon mà ngồi trong nhà kính ăn thì cũng là 1 trải nghiệm kinh hoàng. …",2,0,1,0
Phục vụ rất chậm….hỏi j phải qua quản lý tới bếp rồi trả lời….phòng k có máy lạnh…rất nóng…nhân viên rất thái độ…sẽ k quay lại,0,1,1,0
"Bữa mình có ăn cơm bill 950K, lỗi mình quên kêu xuất vat, giờ nhờ xuất bên công ty không hỗ trợ, kêu xuất vat trong ngày, lúc thanh toán thì không nói khách chỉ xuất vat trong ngày",0,1,0,0
"Quá tệ, vào quán gọi có 1 món thì đem ra sai, xong 1 hồi lại kêu hết món, ngồi đợi giữa trưa vừa đói vừa bực. 1 trải nghiệm quá tệ. Cuối cùng phải gói hộp cơm trắng mang về đi quán khác ăn",0,1,0,0
"đồ ăn không ngon, thái độ phục vụ của NV quá tệ",1,1,0,0
Mình chưa ăn ở đâu mà chất lượng hạt cơm kém như v. Gạo nở bung rời. Có mùi mốc.,1,0,0,0
Quán nhận order mà quên ko gửi cho bếp. Để khách đợi hơn nửa tiếng. Trải nghiệm ko hài lòng.,0,1,0,0
Ăn cơm chứ có phải ăn xin đâu mà ngồi hơn 30' chưa có đồ ăn ? Người ta còn đi làm chứ ở không đâu ?,0,1,0,0
"nay mua ăn mặn, ko có chỗ để xe hơi",1,0,1,0
"Phục vụ không có tâm, ăn xong rồi nước chưa có uống
Quản lý ko thiện cảm với khách hàng
Đồ ăn mắc nhưng không ngon lắm",1,1,0,1
"Phục vụ quá tệ.
Rất là ""thái độ"" với khách. Bạn mình đã bỏ về và qua chi nhánh khác ăn vì thái độ cư xử của cô e phục vụ.",0,1,0,0
Chờ gần 30 phút vì nhân viên đặt món sai bàn. Hỏi tới thì mới bắt đầu làm món. Quán rất ồn ào. Ko bao h quay lại đây.,0,1,1,0
"Nhân viên chảnh vãi chưởng, khó chịu.  Phục vụ chậm, cơm ổn, không phải ngon lắm nhưng thái độ phục vụ cần xem lại.",3,1,0,0
"Thật là chán không thể nào tả. Đồ ăn order gần 30p sau mới ra, ra thì nguội ngắt. Cơm thì kêu cơm thêm hơn 30p mới có dc 2 niêu xong mất tăm. Nhân viên thì gọi hỏi cũng k trl cứ ngơ ngơ.
Thiếu chuyên nghiệp, tranning thêm.",1,1,0,0
"Đồ ăn dở tệ, mặn cháy cổ, gọi thêm bát canh cải thịt cho bớt mặn thì mang ra bát canh mỡ heo nổi lều phều + vài nhánh rau tính thêm 79k. Tóm lại rất tệ KO NÊN ăn ở nhà hàng Thiên Lý này.",1,0,0,1
"Khách đang ăn dở bữa thì yêu cầu dời bàn của khách, cho khách khác vào, điều này rất kiêng.
Cơm niêu ko nóng nhưng khi yêu cầu đổi thì nvien cãi “nóng mà” trước khi kiểm tra lại niêu",1,1,0,0
Bảo vệ thái độ không cần khách.,0,1,0,0
Không để ý tới khách. Coi thường ship,0,1,0,0
Các món ăn không ngon !,1,0,0,0
"Quán cơm gia đình, cơm niêu thì nguội, đợi rất lâu mới có món ăn. Ăn xong rồi vẫn thiếu món, tính tiền cũng phải đợi",1,1,0,0
"Vô ăn mà hỏi món gì báo hết món đó, quản lý có thái độ không tốt, đồ ăn nấu rất tanh và có mùi như hơi cũ không tươi. Chén bát rửa thì còn dính mỡ, hôi kinh khủng …",1,1,1,0
"Không gian tốt, có chỗ đậu xe hơi
Nhưng cá kho thì ko hiểu sao nhạt nhẽo vô cùng, kiểu ko mặn ko ngọt ko cay ko có mùi vị gì á. Ko biết nấu theo khẩu vị miền nào. …",1,0,2,0
"Full combo trải nghiệm siêu tệ ở đây luôn.
Đọc các fback thấy nói về thái độ nhân viên mà đến lượt mình đi cũng chẳng thấy cải thiện gì. Thờ ơ, vô tâm, nếu cảm thấy làm “mẹ” rồi thì nên ở nhà, làm phục …",0,1,0,0
"Quản lý có thái độ nhăn nhó, còn tệ hơn cả nhân viên. Ngược lại các bạn nhân viên phục vụ nhiệt tình",0,3,0,0
"Đồ ăn 4/10. Nhân viên nghiệp vụ kém.
Đổi từ nước suối( chưa khui) sang trà đá mà ko linh hoạt được cho khách? Khách vào cơm niêu ăn thì ko tiếc 15.000 nhưng việc nói “Không” với khách mang lại trải nghiệm tệ với nhà hàng.",1,1,0,0
"LÂU, NVIEN BẢO ĐỢI 7-10p mà tận 1 tiếng chưa ra món",0,1,0,0
Đồ ăn ra lâu gọi có 5 món đợi 1 tiếng đồng hồ mới ra hết món,0,1,0,0
"Lần đầu tiên trải nghiệm dịch vụ ở chi nhánh cityland Gò Vấp cùng với gia đình nhưng đảm bảo sẽ không bao giờ quay lại.
Dịch vụ lên món quá chậm và điều làm mình bực bội nhất đó là bàn bên cạnh mặc dù …",0,1,0,0
"nay vô dặt món mà mình voi trước được phục sau. khi hỏi lại thì xin lỗi rồi mang món ra ngay nhưng đồ ăn thì nguôi, có vẻ như chưa được hâm nóng lại.",1,1,0,0
"Mỗi chi nhánh hương vị mỗi khác nhau
, nay ghé ăn bên này , Tô canh cua rau đay 92k mà nấu ít rau ít cua mướp thì già nêm thì mặn , trứng chiên thì toàn dính vỏ trứng .",1,0,0,1
"Quá Tệ, giá cao nhưng đổi lại ngon thì ok còn đằng này đồ ăn thì dở, cơm thì sống,…",1,0,0,1
Quá tệ. Vào 50p chưa có món. Hỏi thì phục vụ thờ ơ không trả lời.,0,1,0,0
"Đồ ăn làm gấp ko nóng, canh nấu nước vùng đục ngầu canh chả cá khổ qua mà nước đục ngầu như trụng nước sôi xong bỏ chả cá vô vậy
Ăn xong bảo vệ ra xin tiền bo trắng trợn luôn (( tệ",1,1,0,0
"Quá tệ, chờ quá lâu, khách vô sau lên món trước, phục vụ bảo cơm chiên chiên lâu nên lên món chậm, cơm ra thì nguội ko hề nóng, tệ, ko bao giờ quay lại",1,1,0,0
"Cơm nêu mà nấu ngoài xong rồi bỏ vô nêu hâm nóng mang ra.
Thịt kho tiêu y như ngoài quán cơm, nấu sẵn rồi hâm nóng, ăn y thịt kho rịu
Tóm lại ăn rất tệ",1,0,0,0
Mình hay ăn ở đây. Nhưng 1 lần gần đây mình bị bảo vệ “vòi tiền” giữ xe oto nên từ giờ mình bye bye. Quán ăn mà BV làm như quán nhậu 😬 …,0,1,0,0
"Chờ đợi cơm 50p, nhân viên phục vụ quên odee của khách",0,1,0,0
"nhân viên Hồ Bùi Lan Phương thái độ với khách hàng, không nghiêm túc trong quá trình làm việc:)",0,1,0,0
"Chú bảo vệ khó chịu, khách không biết có thẻ xe nên vào trong luôn. Chú bảo vệ nạt nộ, nhăn mặt vì khách không lấy thẻ xe🥲 …",0,1,0,0
"tệ
phục vụ lâu
lên món rất rất lâu
ko quay lại lần 2",0,1,0,0
Ăn hok ngon phục vụ kém,1,1,0,0
"Quán bán quá đắt, đồ ăn bình thường, dĩa cơm sườn non 30k mà chỉ có 2 miếng nhỏ xíu và rau luộc. Lầm lỡ ăn 1 lần rồi thôi luôn.",3,0,0,1
"Ăn lần 1, tôi gọi cơm mực nhồi + lòng xào nghệ. giá là 35k, tôi thấy giá cũng đc, ko rẻ cũng ko đắt
Ăn lần 2, tôi lại gọi cơm mực nhồi + tôm (đc y 2 con như hình). Vì ăn lần 2 nên …",3,0,0,3
"Mình đặt 1 món cá thu sốt cà ( 75k )
2 cơm
1 canh bầu tôm …",0,0,0,0
"Ăn ngon .Nhưng phải xem lại cách phục vụ . Thường xuyên không dọn dẹp dỉa  trên bàn, nước uống chảy tùm lùm trên bàn , rác dưới chân bàn cả đóng,  ,Bà thu tiền ,mặt mày hóng hách ,ngồj chéo quảy, ngơ ngơ .kiểu như   Bất Cần",2,1,1,0
"Quán không đc vệ sinh, giá dĩa cơm thịt nướng 37k...",0,0,1,1
Cắt cổ.mỗi lần ăn một giá khác nhau,0,0,0,1
"Ngon rẻ, thoáng mát, dễ tìm",2,0,2,2
"Không gian sạch sẽ, phục vụ tốt, mình ăn gà nướng mà nướng sống quá mình bỏ ăn cơm 🍚 nên cho 1🌟 …",1,2,2,0
"Mình gọi 1 phần cơm đùi trứng không mỡ hành, trứng k thấy đâu còn mỡ hành thì ngập dĩa. Nhân viên phục vụ rất thái độ. Sẽ không bao giờ quay lại",1,1,0,0
"Mua 2 phần một phần sườn mỡ trứng và một phần thịt kho trứng.
Về tới nhà chỉ có phần sườn mỡ trứng với một hộp cơm không, không có phần đồ ăn thịt kho trứng! …",0,1,0,0
"Ghé một lần ko dám ghé lần hai cơm ăn mặn chát, trà đá hỏi thì kêu tự đi lấy, dở mà bán mắc lắm nha khuyến khích không nên ghé",1,1,0,1
"Quán phục vụ tốt 3 tiêu chí.
Dở-tệ-mắc (khuyến khích không nên ghé dù chỉ một lần)",1,0,0,1
Dĩa cơm với 1 đùi gà nhỏ và cơm khoảng 1 chén cơm 30k với miền tây là quá chát. Chém vừa thôi chủ quán,0,0,0,1
"Nhân viên phục vụ tệ,đồ ăn ko ngon,chả thì để mắm trưng ch khách ăn",1,1,0,0
Vừa bẩn vừa đắt nhân viên thì thái độ,0,1,1,1
Chủ quán thân thiện nhưng đồ ăn thì không xứng đáng với số sao Michelin. Quán rất nổi tiếng với khách du lịch. Đồ ăn của người địa phương ngon hơn nhiều.,1,2,0,0
"Thấy 25-30k lên ăn thử, lên mới thấy 35k cho đĩa sườn không, ăn chả ra sao, mùi vị thua xa sg được 2 lát dưa leo thì héo như để từ hôm qua, quá thất vọng",1,0,0,1
"Đừng đến đó. Nếu bạn là người nước ngoài, họ sẽ giả vờ như không nhìn thấy bạn. Tôi đã đợi 15 phút bên ngoài, hy vọng tìm được chỗ ngồi. Trong khi đó, nhiều người dân địa phương đã được phục vụ.",0,1,0,0
Đặt trứng + sườn mà chỉ bỏ sườn . Cơm thì khô khá là tệ,1,0,0,0
"Cơm sườn, trứng không có gì đặc sắc
Giá 40k
Quá đắt",1,0,0,1
So với quán khác thì giá đắt hơn nhưng lại không ngon,1,0,0,1
"Quá tệ, đồ ăn mặn chát, lừa đảo",1,0,0,1
"Mua mang về, thịt nướng bị cắt bớt. 3 miếng sườn chia vào 4 hộp cơm. 🙂‍↕️ …",0,1,0,0
"sườn khô cứng ngắt,dỡ ẹc",1,0,0,0
"Tối qua vợ chồng mình có ghé quán này mua 1 hôp cơm 35k, đưa tờ 100k mà không thối tiền 65k cho mình. Bực mình bỏ luôn hộp cơm. Quán buôn bán làm ăn gian manh nhất Rạch Giá",0,1,0,1
"Đừng đi, nó vô vị lắm",1,0,0,0
"Xếp hạng sao có vẻ đã bị thao túng. Quá bình thường, lố bịch. Mà giá lại cao ngất ngưởng.",3,0,0,1
Mua 1 phần mang về mở ra thì tá hoả. 40k/1 phần được vài lát thịt gà. Hương vị ngon. Đã mua nhiều lần nhưng lần mua này thật sự quá thất vọng. Mọi lần là cô chủ bán. Nay có bạn nhân viên bán chán thật sự,3,1,0,1
