,rating,text,word_count
10,5 sao,"Đồ ăn ngon , nhân viên nhiệt tình rcm mọi người nên ghé nhoo 🩷",15
11,5 sao,"Quán ấm cúng đồ ăn ngon lém, tổ chức sinh nhật hoặc kỉ niệm ở đây cũng riêng tư nữa 🥰",21
12,1 sao,"Ai đang có ý định tổ chức sinh nhật hay những dịp quan trọng ở đây thì suy nghĩ nha ! ( Tiền mất còn rước bực thêm )

1. Thái độ nhân viên lồi lõm, cộc lốc như kiểu làm ơn. Mở cửa cái “rầm”, đặt dĩa salad xuống bàn nghe rầm rầm, mặt lạnh tanh như khách đang làm phiền họ vậy đó.

2. Món Âu mà đem món chính ra trước khai vị, hỏi thử khách ăn kiểu gì cho đúng vị?

3. Đặt bàn 4 người mà thêm 1 người thôi cũng phải chen chúc, trong khi xung quanh vẫn còn chỗ. Nhân viên kiểu không muốn giúp, nói chuyện như cho có.

4. Mình có decor sẵn để tổ chức sinh nhật, nhờ nhân viên phụ dẹp xuống cho dễ ăn, mà thái độ như kiểu mình sai còn kêu mình qua bàn kia tự dẹp luôn.

5. Mặc váy dài, mang guốc cao nên khi bánh sinh nhật giao tới, mình có nói nhờ mang lên giùm. Ủa mà cái cách nhân viên mang lên là kiểu gì vậy? Thái độ lồi lõm, đặt bánh như quăng vào mặt khách luôn 😤

6. Khi mà tiệc chuẩn bị bắt đầu mình cũng lắp gắp ! Nên có nhờ quán giữ bàn thêm thời gian và mình cũng có ngỏ ý sẽ cọc thêm tiền. Nhưng cái thái độ đáp lại là vấn đề không phải tiền mà là 22h đóng cửa ạ ? Đây là cách đáp trả khách trong ngày quan trọng của họ khi làm dịch vụ ha, mình bảo trễ hơn 5 -10p chứ k phải 1 2 tiếng và mình đặt bàn lúc 7h30:)))

Sau trải nghiệm này thì em không sao quán 1 sao 😇 kiểu lần đầu trải nghiệm ối giồi ôi còn ra về thì xin đánh giá 5 sao ? Để em cho quán cái ảnh với đánh giá nha :) không gian xinh đồ ăn cũng ổn nhưng nên thay máu tổ chức",338
13,5 sao,"nhân viên dễ thương , có chụp ảnh cho khách . phục vụ oke . không gian ở quán đẹp và thoải mái",23
14,5 sao,"Đồ ăn ngon, hợp khẩu vị
Không gian sang trọng, lãng mạng
Các bạn nhân viên nhỏ nhẹ, lịch sự.",20
15,5 sao,"Mình đã quay lại nhiều lần và chất lượng không thay đổi, thức ăn ngon và chỉnh chu. Nhân viên nhiệt tình 🥰",23
16,5 sao,"1 buổi tối kỷ niệm tuyệt vời với vợ chồng tôi.
12 năm rồi tôi mới có 1 bữa ăn lãng mạng như vậy.
Giá cả phải chăng. Đồ ăn ngon hợp vị. Không gian buổi tối cực lãng mạng, thanh lịch, sang trọng.
Sẽ quay lại nhiều lần nữa.
Romantic Dinner !!!",53
17,5 sao,"Đồ ăn rất ngon nhân viên nhiệt tình dễ thương, nhà hàng trang trí rất đẹp và hỗ trợ khách đổi giờ hết mình",24
18,5 sao,"Quán ấm cúng đồ ăn ngon lắm ạ , tổ chức sinh nhật hoặc kỉ niệm ở đây cũng riêng tư nữa 😍😍 …",24
19,5 sao,Quán deco đẹp món ăn hợp khẩu vị ngon nhân viên phục vụ nhiệt tình,15
20,5 sao,Đồ ăn ok ạ nhân viên nhiệt tình,8
21,5 sao,Đồ ăn ngon và Decor đẹp. Mn dẫn người yêu hay vợ tới để hẹn hò thì tuyệt vời nha.,20
22,5 sao,Đồ ăn rất ngon. Không khí tuyệt vời. Mấy chị nhân viên nhiệt tình ạ,15
23,5 sao,"Đồ ăn ngon hợp khẩu vị lắm ạ, set up chụp hình lên đẹp dễ thương, yên tĩnh lãng mạn, bạn mình thích lắm, nói chung tuỵt ạ 🫰🏻 10 điểm",31
24,5 sao,"không gian ở đây rất là xinh luôn nha, rất riêng tư và ấm áp phù hợp để hẹn hò vào những dịp đặc biệt, đáng để trải nghiệm nhé",30
25,5 sao,"Phục vụ tốt, không gian đẹp riêng tư, nhiệt tình chu đáo, đồ ăn ngonnnlamws rcm cho mấy bạn mún hẹn hò ở đây nha",25
26,5 sao,"Quán ấm cúng đồ ăn ngon lém, tổ chức sinh nhật hoặc kỉ niệm ở đây cũng riêng tư nữa 🥰 …",22
27,5 sao,"Đồ ăn ngon, decord đẹp, nhân viên quán nhiệt tình thân thiện",12
28,5 sao,"Đi hẹn hò hay sinh nhật ghé Mr.saigon là sự lựa chọn đúng đắn lun í. Đồ ăn hợp khẩu vị, chị nhân viên nhiệt tình chụp ảnh dùm mình siu ưng luôn. Tóm lại nên ghé nha mụi ngừi",40
29,5 sao,"Đồ ăn ngon, không gian đẹp, nhân viên nhiệt tình",10
30,5 sao,Không gian từng tầng decor khác nhau. Đồ ăn oki. Nhân viên phục vụ chu đáo,16
31,5 sao,"Không gian tuyệt vời , đồ ăn ngon , các bạn nên đến trải nghiệm sẽ thấy thú vị và lãng mạn",22
32,5 sao,"Đồ ăn ngon , không gian ấm cúng , nhân viên nhiệt tình thân thiện . Một nơi lý tưởng để hẹn hò",23
33,5 sao,"Đồ ăn ngon, không gian ấm cúng, nhân viên nhiệt tình hỗ trợ còn chụp ảnh in ra khung cho khách nữa.",22
34,5 sao,"Không gian đẹp, kiểu Âu Mỹ, phù hợp cho hẹn hò, giá cả cũng khá mềm. Quán có bán nhiều set đi kèm hoa và bánh rất xinh.",28
35,5 sao,"Đồ ăn theo mình cảm thấy khá hợp khẩu vị, không gian đẹp, yên tĩnh phù hợp cho các bạn thích sự riêng tư nhé!!",25
36,5 sao,"đồ ăn ngon
không gian đẹp thích hợp là nơi hẹn hò",12
37,5 sao,Phục vụ nhiệt tình nhân viên dễ thương trang trí đẹp đã quay lại lần 2 và sẽ quay lại ạ,21
38,5 sao,"Quán đẹp không gian rộng rãi mát mắc rẻ quá đi
Đồ ăn ngon rất vừa miệng
sẽ ủng hộ lại lần sauuu ạ",24
39,5 sao,"Quán decor siêu xinh, bò ngon, ko gian hẹn hò sn cho gđ nhỏ hay cặp đôi hẹn hò rất ok",21
40,5 sao,"Đồ ăn rất ngon, phục vụ rất nhiệt tình đáng để trãi nghiệm",13
41,5 sao,"Quán decor tiệc giúp mình rất dễ thưn, đồ ăn cũng khỏi chê, phù hợp cho các couple đi date. Hôm trước mình đi với bạn mình thì trông khá lạc quẻ :v nhưng mà thôi kệ",37
42,5 sao,"đồ ăn ngon, nv dễ thương, không gian chill và riêng tư, đẹp 🥰",14
43,5 sao,"Không gian quán sang trọng, đẹp, lịch sự. Món ăn âu ngon vừa vị. Decor nhiều phong cách khác nhau, đẹp đẻ, vào đây chỉ có mãi mê chụp ảnhp",30
44,2 sao,"Mình vừa ghé thăm quán vào cuối tuần vừa rồi với hy vọng có một bữa tối thư giãn, nhưng tiếc là trải nghiệm thực tế lại khá thất vọng.

1. Không gian & Trang trí: Thiếu sự chăm chút
Quán được trang trí theo phong cách ""công nghiệp"" có phần hơi quá đà, tạo cảm giác lạnh lẽo và thiếu ấm cúng. Điểm khiến mình thấy không hài lòng nhất là những chi tiết trang trí như hoa giả và nến để trên bàn hoặc trên kệ bám nhiều bụi, trông rất mất vệ sinh và có vẻ như lâu ngày không được lau chùi. Nó khiến mình cảm thấy không thoải mái ngay khi vừa ngồi xuống.

2. Bố trí bàn ghế: Chật chội và bất tiện
Bàn ăn được kê khá sát nhau và diện tích mỗi bàn rất nhỏ. Khi nhân viên phục vụ mang đồ ăn lên, bàn gần như không còn chỗ trống. Mình phải xếp chồng đĩa, dọn dẹo ly nước mới có chỗ để các món mới lên, việc này làm mất đi cảm giác thưởng thức một cách thoải mái. Ăn uống trở nên vội vã và lộn xộn.

3. Chất lượng đồ ăn & thức uống: Cần cải thiện nhiều
· Đồ ăn: Các món chính chỉ ở mức trung bình, khoảng 4/10. Hương vị không có điểm gì nổi bật, một số món nguội khá nhanh và cảm giác không được tươi.
· Thức uống & Tráng miệng: Đây có lẽ là điểm tệ nhất. Cả nước uống lẫn món tráng miệng đều quá ngọt, tạo cảm giác ngấy và không cân bằng được hương vị. Mình cảm thấy như đang uống siro nguyên chất vậy.
4. Dịch vụ: Thiếu sự chuyên nghiệp
Thái độ phục vụ của nhân viên là điều đáng nói. Không thấy một nụ cười hay lời chào thân thiện nào. Nhân viên mang đồ ăn lên với khuôn mặt hầm hầm, thiếu thiện cảm, khiến bầu không khí bữa ăn càng trở nên nặng nề.
5. Vấn đề lừa khách cọc trước và đánh giá trên google
Quán yêu cầu mình đặt cọc trước 100k giữ chỗ, và mình cũng hoan hỷ vì nghĩ dịp đặc biệt cho người yêu nên mình cũng vui vẻ cọc trước. Quán có yêu cầu thêm nếu đánh giá 5 sao trên google sẽ được hoàn lại 100k, mình cũng nghĩ đơn giản chắc quán cần quảng cáo thêm và mình đồng ý. Cái kết là mọi thứ mình và người yêu trải nghiệm nó không được hài lòng như trên. Menu món ăn chưa bao gồm VAT và phí phục vụ nhưng bạn nhân viên không hề báo trước với mình. Đồng ý là kinh doanh sẽ phải nộp thuế tiêu dùng. Tuy nhiên, đa phần khi đi ăn quán nào cũng để thông tin rõ ràng cho khách hoặc giới thiệu cho khách. Có nhiều quán nếu không yêu cầu lấy hoá đơn thì giá trên menu là giá thanh toán luôn. Mình gọi combo 599k được 4 món: mỗi món siêu ít, được vài miếng thịt, nước lại tính riêng. Nhưng số tiền phải trả khoảng 750k. Quán tạo cho mình cảm giác bị lừa ấy, chênh lệch không bao nhiêu nhưng điều không được biết trước mang cho mình và người yêu cảm giác thật tệ. Hôm đó, em ấy có một bữa tối sinh nhật không mấy vui vẻ.
Kết luận:
Với mức giá không hề rẻ, đây thực sự là một trải nghiệm không xứng đáng. Mình không có ý định quay lại quán lần nào nữa và cũng không giới thiệu nơi này cho bạn bè, người thân. Rất mong quán sẽ chú ý hơn đến việc vệ sinh, đào tạo lại nhân viên và điều chỉnh lại khẩu vị các món ăn.",642
45,5 sao,"Đồ ăn ngon, không gian đẹp, mọi người nên đến trải nghiệm",12
46,5 sao,"10 điểm không có nhưng ạ. Mình rất hài lòng về bữa tối ăn SN tại đất. Set 499k 2 người ăn no cả bụng, không gian riêng tư, decor đẹp mắt, chụp hình thoải mái. Cảm ơn Mr Saigon nhé.",41
47,5 sao,"Không gian quán riêng tư , đồ ăn ngon hợp khẩu vị , nhân viên hỗ trợ nhiệt tình , đặc biệt chụp ảnh đẹp . ❤️ background đẹp huyền bí",31
48,5 sao,"Không gian đẹp, nhân viên hỗ trợ nhiệt tình, chụp ảnh đẹp. Recommend mn ghé tiệm trải nghiệm❤️✨",18
49,5 sao,"Thức ăn ngon, phục vụ tốt, không gian sang trọng, phù hợp hẹn hò riêng tư",16
50,5 sao,"Đồ ăn rất okila , nhân viên phục vụ nhiệt tình , không gian quán đẹp , nên trải nghiệm",20
51,5 sao,"Đồ ăn khá ngon, dịch vụ tốt nhân viên nhiệt tình, bầu không khí lãng mạng yên tĩnh phù hợp cho các cặp đôi hẹn hò 🫰🏻🫰🏻",27
52,5 sao,"đồ ăn ngon, không gian yên tĩnh rất chill và nhân viên rất nhiệt tình . Sẽ ủng hộ lần sau nữa ạ",23
53,5 sao,Quán đẹp nhân viên nhiệt tình đồ ăn ngon dễ thương🥰,11
54,5 sao,"Đồ ăn ngon, không gian sang trọng, nhân viên nhiệt tình, rất hài lòng và chắc chắn sẽ còn quay lại.",21
55,5 sao,"Đồ ăn ngon, phục vụ ok
Một buổi hẹn hò gất ok 🤭",13
56,5 sao,"Quán decor đẹp, ấm cúng. Đồ ăn ngon, lên nhanh. Nhân viên nhiệt tình",14
57,5 sao,"View chụp hình siêu đẹp, đa dạng lắm. Hẹn hò lãng mạn, vk ck mình rất thích. Đồ ăn siêu ngon luôn, ăn là ghiền",25
58,5 sao,Không gian ấm cúng món ăn ngon ❤️❤️❤️,8
59,5 sao,"Trong kho tàng ẩm thực phong phú của Việt Nam, đây là quán ăn luôn giữ một vị trí đặc biệt. Không chỉ là món ăn quen thuộc trong bữa sáng của nhiều người, đồ ăn còn là niềm tự hào khi nhắc đến văn hóa ẩm thực Việt trên bản đồ thế giới. Tôi đã có dịp thưởng thức quán ăn tại một quán ăn ở Mr sai gon và trải nghiệm đó thực sự khiến tôi ấn tượng sâu sắc.",82
60,5 sao,"Mình và bạn có đặt trước bàn sinh nhật ở đây, decor free khá chỉn chu, nhân viên nhiệt tình. Món ăn decor khá đẹp, tụi mình chụp hình  lâu nên đồ ăn hơi nguội, mọi người ăn liền nóng sẽ ngon hơn nha. Nói chung tầm giá ổn nè.",50
61,5 sao,"Phục phụ nhiệt tình, decor đẹp rất ưng mắt, đồ ăn ngon, theo khẩu vị của tụi mình thì 10đ",20
62,5 sao,"Đồ ăn ngon đó nhee, giá cả quá ư là hợp lý luôn:33",13
63,5 sao,"Quán yên tĩnh, nhiều góc chụp, đồ ăn hợp khẩu vị của mình, nhân viên phục vụ oke nha, rcm nên đi thử 1 lần nhoa",26
64,5 sao,"quán decor đẹp, các bạn phục vụ dễ thương, đồ ăn rất vừa miệng 10₫₫ nhó",16
65,5 sao,"Đồ ăn ngon hợp khẩu vị , nhân viên dễ thương không giống những gì mình đọc trên đánh giá . Không gian siu đẹp mng ơi , đáng để thử và chắc chắn sẽ quay lại",37
66,5 sao,"Không gian đẹp, nhân viên nhiệt tình, món ăn ngon.",10
67,5 sao,"đồ ăn ngon, nhân viên dễ thương lắm ạa",9
68,5 sao,"Đồ ăn ngon, không gian đẹp, nhân viên siêu thân thiện dễ thương… sẽ ghé nhiều lần tới ạ 🥰🥰🥰",20
69,5 sao,phục vụ tốt không gian đẹp rất đáng để trải nghiệm ạ 10đ cho nhân viên nhiệt tình nha,19
70,5 sao,"Quán sạch đẹp, trang trí đẹp mắt, phù hợp hẹn hò, sinh nhật, đồ ăn hợp khẩu vị",18
71,5 sao,"Đồ ăn ngon , trang trí đẹp , nhân viên nhiệt tình",12
72,5 sao,"Đồ ăn ngon, các bạn nhân viên nhiệt tình",9
73,5 sao,"Hôm hôm tôi có một bữa date với vợ của tui, mọi thứ như không gian, đồ ăn và phục vụ rất tuyệt vời… chúng tôi sẽ quay lại",29
74,5 sao,"món ngon view đẹp , nvien phục vụ nhiệt tình chu đáo",12
75,5 sao,"Đồ ăn ngon, nhân viên phục vụ nhiệt tình. ♥️",10
76,5 sao,"Trang trí đẹp , đồ ăn ngon . Phục vụ nhiệt tình .",13
77,5 sao,Món ăn ngon nhân viên phục vụ tận tình đáng để hẹn hò trãi nghiệm cho các cặp đôi ạ,20
78,5 sao,"Mình chọn quán để tổ chức các dịp đặc biệt và đã đến lần thứ 3. Mỗi lần đến đều bất ngờ với decor và menu món ăn. Khá thích không gian, đồ ăn và nhạc ở quán",38
79,5 sao,"Đồ ăn ngon, nhân viên take care chu đáo, concept đẹp",11
80,5 sao,"Nhân dịp sinh nhật, mình quyết định dẫn người yêu đi ăn ở một chỗ được review khá tốt…”

Không gian ấm cúng, ánh đèn vàng nhẹ, bàn ghế gỗ tạo cảm giác gần gũi.",35
81,5 sao,"Không khí rất phù hợp rất lãng mạn, bữa ăn cũng rất ngon nha mọi người",16
82,5 sao,"Ngon, giá cả hợp lí, không gian thoải mái, một nơi rất thích hợp để đặt bàn hẹn hò hoặc tổ chức một bữa tiệc",25
83,5 sao,"Nhân viên siêu dễ thương nhiệt tình, đồ ăn ngon tráng trí đẹp",13
84,5 sao,"Đầu tiên là về đồ ăn nha, ngon, giá ổn, ăn no nha :))
Setup xinh hợp ý tui…",19
85,5 sao,Quán trang trí đẹp nhân viên nhiệt tình đồ ăn ngon đánh giá cao về dịch vụ👍,17
86,5 sao,"Đồ ăn ngon, view đẹp, nhân viên lịch sự dễ thương, menu đa dạng, giá cả rất hợp lí.",19
87,4 sao,"Không gian đẹp, kiểu Âu Mỹ, phù hợp cho hẹn hò, giá cả cũng khá mềm. Quán có bán nhiều set đi kèm hoa và bánh rất xinh. Đợt mình đi ăn tối bình thường thì gọi salad và steak — vị tròn trịa, nhưng steak hơi mỏng, không quá ấn tượng. Nếu mình không mua theo set hẹn hò thì chưa đủ lý do để quay lại.",68
88,5 sao,"Không gian được decor đẹp, đồ ăn ngon, nhân viên có sự chuyên nghiệp trong phục vụ.",17
89,5 sao,"Cskh chu đáo,tốt,không gian yên tĩnh riêng tư,món ăn ngon nha,rcm nên đến ạ",14
90,5 sao,"Món ăn ngon, phục vụ chu đáo, bầu không khí tuyệt vời",12
91,5 sao,"Mình có đặt bàn decor sinh nhật ở đây đẹp lắm nha mng , đồ ăn ngon đa dạng phục vụ dễ thương lắm nha mọi ng tới trải nghiệm quán nha",32
92,5 sao,"Thức ăn thức uống hợp khẩu vị
Nhân viên phục vụ nhanh chu đáo
Lần sau sẽ đến tiếp",19
93,5 sao,"Quán siêu tuyệt vời, anh chị nhân viên siêu dễ thương ạ, quán decor đẹp lắm á nha, anh chị nhân viên còn chụp ảnh giúp mình nữa còn tặng khung hình nữa nò siêu dễ thương",37
94,5 sao,"Đồ âu tinh chỉnh theo khẩu vị Việt , rất bắt miệng. Đánh giá cao sallla sốt mè rang wasabi -rong biển",22
95,5 sao,Dịch vụ tốt mấy bạn rất nhiệt tình và đặc biệt đồ ăn rất ngon nhen mọi người,18
96,5 sao,"Nhân viên nhiệt tình , thân thiện , decor rất đẹp và chu đáo , không gian yên tĩnh rất hợp để date , thức ăn ngon 100",28
97,5 sao,"Đồ ăn ngon, nhân viên nhiệt tình",7
98,5 sao,"Đồ ăn ngon, nhân viên chụp hình đẹp, nhiệt tình",10
99,5 sao,"Đồ ăn ngon, nhân viên nhiệt tình, không gian ấm cúng, riêng tư",13
100,5 sao,"Đồ ăn ngon, nhân viên phục vụ nhiệt tình, trang trí decor đẹp.❤️👌",13
101,5 sao,Một trải nghiệm tuyệt vời và khá là thú vị bất ngờ. Là phục vụ nhiệt tình không gian kín riêng tư,22
102,5 sao,Đồ ăn âu mà giá rẻ siêu ngon làm nơi first date là chuẩn bài cho các bạn nam bảo đảm bạn nữ đồng ý,25
103,5 sao,"Không gian yên tĩnh, lãng mạn, phù hợp cho các cặp đôi, đồ ăn rất vừa miệng.",17
104,5 sao,"Đồ ăn ngon , nhân viên nhiệt tình, dễ thương, chụp ảnh đẹp 🥰",14
105,5 sao,"quán dth , có tặng khung ảnh làm kỉ niệm . đồ ăn ra nhanh , không gian thoải mái , rcm món bò lúc lắc nên ăn thử",29
106,5 sao,"đồ ăn ngon, không gian xinh đẹp và nhân viên đáng iu lắm luôn nè",15
107,3 sao,"Mình biết quán qua Tik Tok, thấy cũng gần chỗ mình ở nên quyết định trải nghiệm ở quán xem sao.

Không gian: phòng riêng tư rộng rãi, mát mẻ, tuy nhiên quán nên xem lại cách set up đèn, khá tối và lộ nhiều khuyết da 😭 7/10

Nhân viên: nhiệt tình, chụp ảnh đẹp 9/10

Thức ăn: khẩu phần ăn khá ít, cá nhân mình thấy hơi đắt so với tầm giá, set 699k được 4 món ăn. Trong đó, mì và bò hợp khẩu vị với mình, 2 món còn lại không có gì nổi bật  7/10

Tổng quan: 6/10, lúc book bàn mình sẽ nghĩ phòng riêng 499k đã bao gồm decor, nhưng khi tính tiền lại +93k tiền decor ( lúc tư vấn nhân viên không hề báo mình trước) khá thất vọng ở khoản này!!
Nói chung mình và ny không quá khó tính, vẫn hoan hỉ cho quán nhưng hy vọng tiệm sẽ rõ ràng hơn trong vấn đề giá cả này",169
108,5 sao,"đồ ăn ngon, nhân viên nhiệt tìnhhh, 10 điểm hong có nhưnggggggg",12
109,5 sao,"quán rất oki , decor sang trọng , đồ ăn ngon lắm luôn ấy",14
110,5 sao,"đồ ăn ngon giá hợp lí, đặc biệt các bạn nhân viên rất dễ thương nha.",16
111,5 sao,"Lần đầu đến quán, nhân viên tư vấn đặt bàn nhiệt tình, quán khá yên tĩnh và lãng mạng, còn được tặng khung ảnh miễn phí. ❤️❤️❤️. Trãi nghiệm rất oke có dịp sẽ quay lại nhé",37
112,5 sao,"Không gian đẹp , do chúng tôi đi buổi trưa nên quán khá yên tĩnh rất thích hợp nói chuyện, đồ ăn vừa miệng.",24
113,5 sao,"Nhân viên nhiệt tình, đồ ăn ngon, hổ trợ tạo kiểu chupk hình",13
114,5 sao,"Đồ ăn ngon, nhân viên phục vụ nhiệt tình, quán decor đẹp. Mr Saigon 10 điểm",16
115,5 sao,"Không gian ấm cúng, sang trọng, decor đẹp, đồ ăn ngon và chi phí rất là hợp lí",18
116,5 sao,"Đồ ăn ngon, không khí lãng mạn rất thích hợp đi với người yêu. Nhân viên cũng rất nhiệt tình ❤️❤️",21
117,5 sao,Quán đồ ăn ngon nhân viên hỗ trợ chụp hình quán có decor đẹp theo iu cầu,17
118,5 sao,"Đồ ăn ngon, không gian đẹp yên tĩnh",8
119,5 sao,"- Đồ ăn ngon, nhân viên nhiệt tình dễ thương",10
120,2 sao,"MÌNH ĐÃ BỊ LỪA. Lần thứ 2 ghé lại ủng hộ nhưng hoàn toàn thất vọng. Đặt bàn ban đầu mình đã cọc trc 99k. Nhưng đến khi thanh toán thì bạn nhân viên có nói với mình là sẽ đc trừ 99k vào bill nếu đánh giá trên maps. Nhưng khi đưa bill thì ktra chỉ thấy trừ mỗi 99k đã cọc, nên có hỏi lại nv xem có nhầm ko thì bạn nói e đã trừ cho mình r nè. Ủa alo??? Đó là tiền cọc mà có vấn đề ko vậy🤡. Thề sẽ ko quay lại lần nào nữa!!!",102
121,5 sao,"Nhân viên nhiệt tình không gian quán rất đẹp
Rất hài lòng",12
122,5 sao,"Đồ ăn ngon, mấy bạn nhân viên nhiệt tình lắm lun, view đẹp 10đ",14
123,5 sao,"Đồ ăn ngon, không gian đẹp và trang trí lãng mạng. Nhân viên rất nhiệt tình.",16
124,5 sao,"Quán ăn ngon, sang trọng, nhân viên phục vụ nhiệt tình, còn có dịch vụ in ảnh free nữa, sẽ đến vào lần sau ạ :))",26
125,5 sao,"Đồ ăn oke hợp khẩu vị
Nhân viên rất nhiệt tình
Decor ổn, nên có thêm decor theo yêu cầu khách sẽ oke hơn",24
126,1 sao,"Phê bình thật mạnh bạn tiếp tân ở lầu trệt, không có chút tinh tế nào
Hôm bữa khi tôi đến mặc dù đã chọn combo trước nhưng tiếp tân không nhớ và hỏi lại, không nhớ thì cũng không sao nhưng khi bạn hỏi giá bao nhiêu thì bạn lật Menu lại cho mình chọn thì lật từ combo đắt nhất xuống thấp nhất, và đã để cho người bạn đi cặp cùng mình biết mình đã combo giá rẻ nhất, dù 1 chi tiết khá nhỏ thôi nhưng cũng đã khá phá hỏng tâm trạng của mình lúc đó, phải chăng bạn làm thế để muốn couple ngta chọn combo giá cao hơn? Dù sao thì mọi thứ ở đó thật tuyệt vời nhưng mình vẫn chấm 1 sao vì khâu đầu tiên khi đến nhà hàng này.",140
127,5 sao,"nhân viên phục vụ nhiệt tình, đồ ăn vừa khẩu vị rất ngon. Lần sau sẽ lại ghé để thêm nhiều trải nghiệm",23
128,5 sao,"Không gian quán sang trọng, đẹp, món ăn vừa vị, quán decor nhiều phong cách",15
129,5 sao,"Đồ ăn khá ổn trong tầm giá nha . Real , đặc biệt được chụp ảnh và tặng khung hình , hài lòng với các bạn nhân viên",28
130,5 sao,"Ai có dự định đặt chỗ ở đây hẹn hò thì lên lịch nhanh nha, đồ ăn ngon sĩu, nhân viên dễ thương lắm ạ. Được tặng khung ảnh siu cưng luôn ạ",33
131,5 sao,"Đồ ăn ngon, không gian trang trí dễ thương, dịch vụ rất đáng trải nghiệm luôn",16
132,5 sao,ăn ở đay nhiều r từ pvu tới món ăn đều chỉnh chu,13
133,5 sao,"Đồ ăn ngon, các bạn nhân viên nhiệt tình, phục vụ tốt",12
134,5 sao,"Đồ ăn ngon , nhân viên nhiệt tình dễ thương 😘 …",12
135,5 sao,"Không gian lãng mạn
Đồ ăn ngon
Nhân viên nhiệt tình",11
136,5 sao,"Đồ ăn ngon, phục vụ dễ thương, trãi nghiệm 10đ, không gian quán siêu đẹp",15
137,5 sao,Món ăn ngon nhân viên nhiệt tình muốn có buổi hẹn hò lãng mạn và những bức ảnh xinh hãy đến mr saigon🫶🏻,23
138,5 sao,Nhân viên nhiệt tình dễ thương 🥰 món ăn siêu ngon,11
139,5 sao,món ăn rất ngon nhân viên dễ thương ạ sẽ quay lại lần sau,14
140,5 sao,"Quán có không gian ấm cúng, lên món cũng nhanh nữa. Mấy anh nhân viên tư vấn siu nhiệt tình, đồ ăn ngon ạa",24
141,5 sao,"Không gian quán sang trọng, đẹp, lịch sự. Món ăn âu ngon vừa vị. Decor nhiều phong cách khác nhau, đẹp đẻ, vào đây chỉ có mãi mê chụp ảnh",30
142,5 sao,"k gian đẹp, đồ ăn hợp với các bạn mê béo, nhân viên nhiệt tình sẽ ủng hộ lại",19
143,5 sao,"Đồ ăn ok, nhân viên phục vụ nhiệt tình",9
144,5 sao,"Quán decor rất đẹp, đồ ăn ngon. Các bạn nên đến đây để trải nghiệm nha",16
145,5 sao,"Không gian đẹp, món ăn ngon, nhân viên than thiện. Cảm ơn",12
146,5 sao,Không khí và decor lãng mạn khá hài lòng. Set phần ăn 2 người vừa đủ ạ,17
147,5 sao,"Tư vấn okela lắm nha. Đồ ăn ngon, private, trang trí theo ý mình nên thấy ok lắm. Sẽ ghé lần sau nhé",23
148,5 sao,"Món ăn ngon, hợp khẩu vị, nhân viên chuyên nghiệp và không gian sang trọng",15
149,5 sao,đồ ăn ngon phục vụ tốt,6
